id;nombre;version;controlador;accountname;controllermacaddress;imagen_url;imagen_url_content_type;valor;marca_id
1;optical lime concept;secondary SMS;open-source;Locks Licensed Principal;navigating Lek redundant;../fake-data/blob/hipster.png;image/png;31047;1
2;solid state salmon;reboot Designer Wooden;Tools;panel orchestrate vertical;functionalities drive;../fake-data/blob/hipster.png;image/png;82908;2
3;Metrics Gorgeous Ways;Fresh Harbor;capacitor payment Lebanese Pound;TunaX;systemic silver B2C;../fake-data/blob/hipster.png;image/png;39951;3
4;applications haptic;New York facilitate;groupware Garden protocol;cohesive;Guinea Cotton copying;../fake-data/blob/hipster.png;image/png;8776;4
5;Home Loan Account Cotton;Savings Account;AI mint green;Shoes multi-byte;quantifying;../fake-data/blob/hipster.png;image/png;30800;5
6;Ball input;Customizable;deposit Car;Assimilated driver initiative;Rand back-end;../fake-data/blob/hipster.png;image/png;2939;6
7;deposit Handmade Granite Ball;Tuna;deposit global transmit;networks compressing Facilitator;Future-proofed real-time Streets;../fake-data/blob/hipster.png;image/png;64146;7
8;Ergonomic Analyst;Sausages;utilize Human Specialist;ROI Bond Markets Units European Composite Unit (EURCO);program iterate Shoes;../fake-data/blob/hipster.png;image/png;11597;8
9;Soft hacking generating;bypass Money Market Account;Cheese;Home Loan Account Pizza Customer;Personal Loan Account Facilitator Concrete;../fake-data/blob/hipster.png;image/png;56598;9
10;Comoro Franc;Macedonia;Dynamic Pennsylvania magenta;Gloves Regional systems;Rustic;../fake-data/blob/hipster.png;image/png;90406;10
