id;fechacreacion;descripcion;valoriva;totalsiniva;porcentajedescuento;fechamantenimiento;activo;total;estadocotizacion;cliente_id
1;2020-04-07T04:48:51;matrix indexing;18032;55834;98513;2020-04-07T21:23:29;false;58895;ENPROCESO;1
2;2020-04-08T03:41:23;HTTPX;21460;13335;93282;2020-04-07T23:13:49;false;81623;ENPROCESO;2
3;2020-04-07T04:53:33;exuding program Programmable;37615;30519;93828;2020-04-08T00:45:59;false;89935;INSTALADO;3
4;2020-04-07T10:33:44;AGP Credit Card Account;64816;26220;97623;2020-04-07T23:54:40;false;92464;INSTALADO;4
5;2020-04-08T03:47:02;regional Dynamic;99224;64821;27864;2020-04-07T22:11:10;true;11697;ENPROCESO;5
6;2020-04-07T23:11:53;hard drive Frozen Isle of Man;70374;50617;66125;2020-04-07T07:58:49;false;73407;INICIO;6
7;2020-04-08T02:40:09;Kids monetize;98838;36499;89292;2020-04-08T03:39:09;true;67275;TERMINADA;7
8;2020-04-08T03:05:35;sensor payment;83858;17580;63430;2020-04-07T05:40:23;true;43861;INICIO;8
9;2020-04-07T17:13:19;hacking;55370;84937;66003;2020-04-08T03:40:53;false;72897;TERMINADA;9
10;2020-04-07T08:57:41;Wisconsin Cheese Cambridgeshire;46277;5867;33441;2020-04-07T22:41:34;true;47394;TERMINADA;10
