id;nombre;correo;codigo;idciudad;direccion;telefonofijo;telefonocelular;idusuario;comerciales_id
1;system;TCP Communications vertical;e-commerce New Jersey aggregate;84657;blue Jordan;architect Small throughput;Bulgaria turn-key;cross-platform deposit;1
2;Minnesota Vista markets;Executive;Tools;92044;ToysX;Home Loan Account bluetooth;Manat;Generic Metal Cheese e-markets Generic;2
3;Liaison Pizza;Accounts mobile Global;enterprise Internal pixel;6080;Auto Loan Account plum;cross-media invoice orange;Bedfordshire;Bedfordshire;3
4;interfaces;Baby Solutions;distributed Tasty Plastic Sausages withdrawal;7896;JSON Divide;Facilitator Future;Armenia;conglomeration bricks-and-clicks bandwidth-monitored;4
5;New Mexico Russian Ruble Bedfordshire;Avon Sweden;Plastic De-engineered;40508;initiatives Sports;Timor-Leste deposit;Dynamic;Refined Metal Cheese;5
6;methodologies open-source high-level;Falkland Islands (Malvinas) grow;parsing withdrawal Web;40757;Cambridgeshire Auto Loan Account;architectures Fantastic;ubiquitous deposit;eyeballs;6
7;Inlet Infrastructure Dynamic;Generic Forward;Incredible Plastic Bike National calculating;36799;navigating New Jersey;Games;solution-oriented Planner Syrian Arab Republi;Macedonia;7
8;Optional Checking Account Colorado;aggregate;Louisiana approach;71500;COMXX;zero administration Automotive Soap;Mills Cape Verde Automotive;synergies Dynamic Canyon;8
9;Georgia tan Internal;synergistic Kyrgyz Republic Representative;embrace haptic;22430;service-desk Marketing redefine;copyX;Awesome collaborative;Soft Business-focused;9
10;strategy Sports Games;global;incentivize Advanced;64728;Garden deposit;Engineer envisioneer Nevada;Ergonomic;Practical Steel Pants;10
