id;nombre;code;imagen_url;imagen_url_content_type
1;Home Loan Account Plastic;solid stat;../fake-data/blob/hipster.png;image/png
2;contingency Home Loan Account Clothing;empowering;../fake-data/blob/hipster.png;image/png
3;Bike Gorgeous cyan;Mall visio;../fake-data/blob/hipster.png;image/png
4;synthesize;SMTP syndi;../fake-data/blob/hipster.png;image/png
5;Tasty Rubber Hat end-to-end robust;Germany;../fake-data/blob/hipster.png;image/png
6;Compatible;program iv;../fake-data/blob/hipster.png;image/png
7;schemas leverage Movies;HDD B2B;../fake-data/blob/hipster.png;image/png
8;Fundamental;Hat;../fake-data/blob/hipster.png;image/png
9;Chips Ethiopia;Regional i;../fake-data/blob/hipster.png;image/png
10;deposit Avon;Cloned Pla;../fake-data/blob/hipster.png;image/png
