id;nombre;descripcion;code;imagen_url;imagen_url_content_type;tipo_solucion_id
1;Enterprise-wide New Mexico;../fake-data/blob/hipster.txt;hardware G;../fake-data/blob/hipster.png;image/png;1
2;bypassing Bedfordshire Frozen;../fake-data/blob/hipster.txt;transmitti;../fake-data/blob/hipster.png;image/png;2
3;Forward Grocery;../fake-data/blob/hipster.txt;bluetooth;../fake-data/blob/hipster.png;image/png;3
4;Rubber;../fake-data/blob/hipster.txt;TCP Jewele;../fake-data/blob/hipster.png;image/png;4
5;Fresh parsing;../fake-data/blob/hipster.txt;Officer;../fake-data/blob/hipster.png;image/png;5
6;Isle Salad Bedfordshire;../fake-data/blob/hipster.txt;Nepalese R;../fake-data/blob/hipster.png;image/png;6
7;Heard Island and McDonald Islands synergies parse;../fake-data/blob/hipster.txt;Savings Ac;../fake-data/blob/hipster.png;image/png;7
8;mobile Intelligent content;../fake-data/blob/hipster.txt;Incredible;../fake-data/blob/hipster.png;image/png;8
9;Bermuda Bedfordshire;../fake-data/blob/hipster.txt;Customizab;../fake-data/blob/hipster.png;image/png;9
10;Health Lek Intranet;../fake-data/blob/hipster.txt;Licensed;../fake-data/blob/hipster.png;image/png;10
