id;fechacreacion;descripcion;valoriva;totalsiniva;fechaultimomantenimiento;porcentajedescuento;total;activo;imagen;imagen_content_type
1;2020-04-07T11:40:54;Morocco input reboot;92537;8150;2020-04-07T16:41:02;35411;73534;false;../fake-data/blob/hipster.png;image/png
2;2020-04-07T19:37:50;Architect Technician overriding;22306;80863;2020-04-08T01:26:08;77625;74556;true;../fake-data/blob/hipster.png;image/png
3;2020-04-07T05:26:52;platforms auxiliary Fantastic Frozen Bike;39310;73823;2020-04-07T07:02:27;21539;11403;false;../fake-data/blob/hipster.png;image/png
4;2020-04-07T14:51:16;South Carolina Keyboard;90967;76367;2020-04-07T20:29:44;80855;88189;false;../fake-data/blob/hipster.png;image/png
5;2020-04-07T14:48:04;executive Customer-focused;56782;74815;2020-04-07T08:40:46;48214;57179;true;../fake-data/blob/hipster.png;image/png
6;2020-04-07T11:57:47;eyeballs Small Soft Keyboard;44205;77161;2020-04-07T16:18:50;62710;45556;true;../fake-data/blob/hipster.png;image/png
7;2020-04-07T13:57:41;Rhode Island Analyst;25670;10365;2020-04-07T20:31:27;26432;9776;false;../fake-data/blob/hipster.png;image/png
8;2020-04-07T18:15:19;Producer Plastic;2258;95911;2020-04-07T07:08:30;8618;71848;true;../fake-data/blob/hipster.png;image/png
9;2020-04-07T06:56:06;Cayman Islands grey;45477;99901;2020-04-08T02:25:51;94249;55379;false;../fake-data/blob/hipster.png;image/png
10;2020-04-07T14:17:25;Forint;70035;43951;2020-04-08T00:34:42;57938;53507;false;../fake-data/blob/hipster.png;image/png
