id;valor_unidad;valor_util_unidad;descuento_unidad;fechacotizacion;cantidad_equipos;cotizacion_id;equiposcotizados_to_equipos_id
1;52185;50332;84601;2020-04-08T03:30:50;54222;1;1
2;87390;34786;18622;2020-04-08T03:13:19;11432;2;2
3;98388;24118;10378;2020-04-07T16:55:41;94351;3;3
4;41603;20147;28095;2020-04-07T18:25:43;9959;4;4
5;3391;73446;80322;2020-04-07T18:15:54;70846;5;5
6;59139;55272;70095;2020-04-07T16:45:02;11525;6;6
7;17294;68733;65556;2020-04-07T17:13:56;50259;7;7
8;16977;6889;64316;2020-04-07T22:03:45;77452;8;8
9;9821;81680;69231;2020-04-07T12:14:06;80781;9;9
10;23905;24265;86663;2020-04-07T20:03:22;56480;10;10
