id;nombre;imagen_url;imagen_url_content_type;code;tipo_equipo_id
1;scale overriding Developer;../fake-data/blob/hipster.png;image/png;emulation ;1
2;tan Malawi technologies;../fake-data/blob/hipster.png;image/png;Pants;2
3;web-readiness;../fake-data/blob/hipster.png;image/png;Web Tasty ;3
4;world-class Azerbaijan;../fake-data/blob/hipster.png;image/png;generate S;4
5;Technician;../fake-data/blob/hipster.png;image/png;e-business;5
6;Forward Lights Aruba;../fake-data/blob/hipster.png;image/png;Borders;6
7;high-level;../fake-data/blob/hipster.png;image/png;California;7
8;deposit Investment Account bypassing;../fake-data/blob/hipster.png;image/png;Licensed P;8
9;focus group SAS;../fake-data/blob/hipster.png;image/png;transition;9
10;Track Fantastic Mouse;../fake-data/blob/hipster.png;image/png;withdrawal;10
