id;detalleproblema;fechacreacion;fechaactualizacion;observaciones;idusuarioatendio;idusuarioactualizo;id_usuario;imagen;imagen_content_type;estado_requerimiento;tipo_requerimiento
1;../fake-data/blob/hipster.txt;2020-04-07T06:40:22;2020-04-07T04:30:54;../fake-data/blob/hipster.txt;Plastic Marketing evolve;South Dakota Kazakhstan;Rustic;../fake-data/blob/hipster.png;image/png;PROBLEMA;PROBLEMASEQUIPO
2;../fake-data/blob/hipster.txt;2020-04-07T12:19:20;2020-04-07T20:32:00;../fake-data/blob/hipster.txt;yellow Lead;New Taiwan Dollar;clear-thinking Forward Administrator;../fake-data/blob/hipster.png;image/png;ENPROCESO;PROBLEMASEQUIPO
3;../fake-data/blob/hipster.txt;2020-04-07T22:54:14;2020-04-07T17:09:13;../fake-data/blob/hipster.txt;Rue;Chief pricing structure Senior;Towels;../fake-data/blob/hipster.png;image/png;ENPROCESO;NUEVOEQUIPO
4;../fake-data/blob/hipster.txt;2020-04-07T04:39:50;2020-04-07T14:24:05;../fake-data/blob/hipster.txt;Direct Paradigm;Officer;cross-platform syndicate;../fake-data/blob/hipster.png;image/png;RESUELTO;NUEVOEQUIPO
5;../fake-data/blob/hipster.txt;2020-04-07T10:34:06;2020-04-07T22:12:21;../fake-data/blob/hipster.txt;Money Market Account Granite;virtual;value-added Paradigm Chair;../fake-data/blob/hipster.png;image/png;PROBLEMAMAYOR;PROBLEMASEQUIPO
6;../fake-data/blob/hipster.txt;2020-04-07T21:28:16;2020-04-07T12:38:58;../fake-data/blob/hipster.txt;Auto Loan Account;Handmade Concrete Bacon Coordinator Accountability;Refined Auto Loan Account;../fake-data/blob/hipster.png;image/png;PROBLEMA;NUEVOEQUIPO
7;../fake-data/blob/hipster.txt;2020-04-07T04:03:34;2020-04-07T21:04:15;../fake-data/blob/hipster.txt;pricing structure New Jersey Home;Handcrafted Metal Pants;secured line Norfolk Island user-facing;../fake-data/blob/hipster.png;image/png;INICIADO;PROBLEMASEQUIPO
8;../fake-data/blob/hipster.txt;2020-04-07T06:30:50;2020-04-07T09:16:22;../fake-data/blob/hipster.txt;Credit Card Account Awesome;CSS Configuration;transform;../fake-data/blob/hipster.png;image/png;PROBLEMA;NUEVOEQUIPO
9;../fake-data/blob/hipster.txt;2020-04-07T13:53:37;2020-04-07T14:59:30;../fake-data/blob/hipster.txt;Club Health;matrix;Pizza program programming;../fake-data/blob/hipster.png;image/png;PROBLEMAMAYOR;NUEVOEQUIPO
10;../fake-data/blob/hipster.txt;2020-04-08T03:39:12;2020-04-07T11:18:55;../fake-data/blob/hipster.txt;index Bedfordshire;Product Platinum;North Dakota Isle of Man Communications;../fake-data/blob/hipster.png;image/png;PROBLEMA;NUEVOEQUIPO
