id;nombre;descripcion;imagen;code
1;hacking;Agent AGP;mint green;French Sou
2;Investment Account overriding Books;Ports mesh;Designer;redefine
3;envisioneer;mint green;Fantastic;Metal
4;AGPXX;models reinvent;best-of-breed;Tools Agen
5;productivity bandwidth-monitored Internationa;AI turn-key;goldX;Bike mobil
6;Central Designer;Generic Soft Computer matrices;Florida Investor;Games
7;interface;firewall Multi-layered AGP;Personal Loan Account white;Manat port
8;Maine;reinvent Avon;protocol;Nakfa
9;Associate hierarchy;Operative;Electronics Shirt;Auto Loan 
10;sensor Pound Sterling Internal;Pizza Liaison Fantastic;Wisconsin silver;multi-byte
