id;nombre;descripcion;imagen_url;imagen_url_content_type;code;solucion_id
1;bricks-and-clicks Soft;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;withdrawal;1
2;Representative withdrawal Integration;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Bike Cypru;2
3;Handmade Plastic Car;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Palladium ;3
4;Hong Kong holistic Refined Metal Pizza;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;B2B Aruban;4
5;model fault-tolerant brand;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Credit Car;5
6;Interactions Markets Assistant;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Jewelery D;6
7;Iceland Krona;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;incentiviz;7
8;IBXXX;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;neural;8
9;Games Checking Account Quality;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Small Towe;9
10;programming invoice Minnesota;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;generating;10
