id;descripcion;observacion;fechainstalacion;posibleactuliazcion;cantidad;cliente_id;equipo_id;proyecto_id
1;PCI Facilitator compressing;matrix circuit;2020-04-08T00:46:34;true;97936;1;1;1
2;AGPXX;Response;2020-04-07T14:21:17;false;35619;2;2;2
3;programming Slovenia;Seamless;2020-04-07T20:30:32;false;12620;3;3;3
4;Configurable Baby Home Loan Account;User-centric;2020-04-07T16:56:54;false;16975;4;4;4
5;calculating Granite;exploit Directives;2020-04-07T10:25:38;false;35503;5;5;5
6;indexing Tasty invoice;Utah Decentralized;2020-04-07T07:25:17;false;51972;6;6;6
7;Liaison;action-items Savings Account;2020-04-07T10:49:16;true;15966;7;7;7
8;Kansas;redundant Kids;2020-04-07T12:43:58;true;71486;8;8;8
9;Gloves solution;generate Forward Handcrafted;2020-04-08T01:13:31;true;33211;9;9;9
10;District;Consultant Buckinghamshire;2020-04-07T11:06:57;true;12150;10;10;10
