id;idusuario;idcliente;iddealer;activo;dispositivo
1;User-centric Multi-channelled;Ergonomic;world-class Synchronised;false;Savings Account New Jersey
2;Licensed payment;Avon;Exclusive;true;calculate Concrete Steel
3;Optional International Web;hard drive Officer Soap;protocol;true;Shoals
4;Island;Directives lime;Wyoming;true;Integration Avon
5;encompassing collaboration;virtual Route deposit;deposit;true;Investment Account
6;Movies;payment;Soft;true;Home portals
7;Analyst withdrawal target;whiteboard SMS Investment Account;frame Health installation;false;Comoro Franc Communications
8;Cambridgeshire;Awesome Frozen Salad;invoice Orchestrator;false;schemas challenge
9;Clothing;Architect;Serbia Sleek Fresh Shirt Expanded;true;Principal
10;Fantastic Frozen Bike 24/365;Buckinghamshire integrate South Dakota;Chicken connect Licensed;true;sensor pink Future-proofed
